dataset,repetition,seed,model,train_rows,ngram_range,min_df,C,affect_weight,scope,subset,manipulation_category,rows,detected_misleading,missed_misleading,misleading_recall,mean_probability_misleading,median_probability_misleading,std_probability_misleading
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,subset_category,hard_case,sentiment,53,9,44,0.16981132075471697,0.35192279388576375,0.34985358434264424,0.16597980042037017
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,subset_category,main,causal,188,72,116,0.3829787234042553,0.43527743857806855,0.4252156552985392,0.18440948987088132
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,subset_category,main,flipping,306,102,204,0.3333333333333333,0.41501178031200653,0.38318579382531526,0.18812169555536606
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,subset_category,main,numerical,353,98,255,0.2776203966005666,0.393871168564852,0.38343011783698894,0.1853192433946486
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,subset_category,main,sentiment,153,48,105,0.3137254901960784,0.4109524183817309,0.4055052247848796,0.18478068711249157
liar2_finance,5,55,text_only,2048,1-2,1,1.0,,overall,all,all,1123,460,663,0.40961709706144256,0.48378990276349326,0.48149631692331996,0.07715495813228529
liar2_finance,5,55,text_only,2048,1-2,1,1.0,,overall_non_sentiment,all,non_sentiment,917,371,546,0.40458015267175573,0.4838702603093229,0.4812445110283683,0.07833757833742744
liar2_finance,5,55,text_only,2048,1-2,1,1.0,,subset,hard_case,all,123,43,80,0.34959349593495936,0.46582509252737875,0.46767713576590964,0.07280144476680932
liar2_finance,5,55,text_only,2048,1-2,1,1.0,,subset_non_sentiment,hard_case,non_sentiment,70,25,45,0.35714285714285715,0.4671811933247689,0.471093247242766,0.07882181825803371
liar2_finance,5,55,text_only,2048,1-2,1,1.0,,subset,main,all,1000,417,583,0.417,0.4859995744225354,0.4838793582635987,0.07738609409731881
liar2_finance,5,55,text_only,2048,1-2,1,1.0,,subset_non_sentiment,main,non_sentiment,847,346,501,0.4085005903187721,0.48524952204358346,0.48252499481437083,0.07813811959168765
liar2_finance,5,55,text_only,2048,1-2,1,1.0,,category,all,causal,231,118,113,0.5108225108225108,0.5018117328162962,0.5057359038480036,0.0787157095700479
liar2_finance,5,55,text_only,2048,1-2,1,1.0,,category,all,flipping,313,117,196,0.3738019169329074,0.4803017082399959,0.477152422892736,0.0768587374956923
liar2_finance,5,55,text_only,2048,1-2,1,1.0,,category,all,numerical,373,136,237,0.3646112600536193,0.4757535757210884,0.4776235346149079,0.07756720793070843
liar2_finance,5,55,text_only,2048,1-2,1,1.0,,category,all,sentiment,206,89,117,0.4320388349514563,0.4834321946589992,0.4838793582635987,0.07165304409008216
liar2_finance,5,55,text_only,2048,1-2,1,1.0,,subset_category,hard_case,causal,43,20,23,0.46511627906976744,0.4904902151856297,0.4844443498587667,0.07873908359619539
liar2_finance,5,55,text_only,2048,1-2,1,1.0,,subset_category,hard_case,flipping,7,3,4,0.42857142857142855,0.4708585551970948,0.4557777179806076,0.05674690291820906
liar2_finance,5,55,text_only,2048,1-2,1,1.0,,subset_category,hard_case,numerical,20,2,18,0.1,0.4157797196686043,0.4213748424463895,0.058935367909448456
liar2_finance,5,55,text_only,2048,1-2,1,1.0,,subset_category,hard_case,sentiment,53,18,35,0.33962264150943394,0.4640340160025234,0.46397795379016027,0.06394365291854484
