dataset,repetition,seed,fold,model,train_rows,test_rows,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
factors_finance,6,66,4,text_only,418,104,0.6730769230769231,0.6730769230769231,0.6730769230769231,0.6730769230769231,0.6730769230769231,0.6730769230769231
factors_finance,6,66,4,emotion_aware,418,104,0.6442307692307693,0.6442307692307693,0.6363636363636364,0.6730769230769231,0.6542056074766355,0.6439344869066346
factors_finance,6,66,5,text_only,418,104,0.6346153846153846,0.6346153846153846,0.675,0.5192307692307693,0.5869565217391305,0.6296851574212894
factors_finance,6,66,5,emotion_aware,418,104,0.5961538461538461,0.5961538461538461,0.6190476190476191,0.5,0.5531914893617021,0.5923852183650615
factors_finance,7,77,1,text_only,416,106,0.5943396226415094,0.5943396226415094,0.6,0.5660377358490566,0.5825242718446602,0.5940144295003118
factors_finance,7,77,1,emotion_aware,416,106,0.6132075471698113,0.6132075471698113,0.62,0.5849056603773585,0.6019417475728155,0.6128974792909949
factors_finance,7,77,2,text_only,418,104,0.6442307692307693,0.6442307692307692,0.6415094339622641,0.6538461538461539,0.6476190476190476,0.644197873324087
factors_finance,7,77,2,emotion_aware,418,104,0.6346153846153846,0.6346153846153846,0.6346153846153846,0.6346153846153846,0.6346153846153846,0.6346153846153846
factors_finance,7,77,3,text_only,418,104,0.6346153846153846,0.6346153846153846,0.6296296296296297,0.6538461538461539,0.6415094339622641,0.6344802071772104
factors_finance,7,77,3,emotion_aware,418,104,0.5576923076923077,0.5576923076923077,0.56,0.5384615384615384,0.5490196078431373,0.557528671846097
factors_finance,7,77,4,text_only,418,104,0.625,0.625,0.6226415094339622,0.6346153846153846,0.6285714285714286,0.6249653259361997
factors_finance,7,77,4,emotion_aware,418,104,0.6634615384615384,0.6634615384615385,0.660377358490566,0.6730769230769231,0.6666666666666666,0.6634304207119741
factors_finance,7,77,5,text_only,418,104,0.6442307692307693,0.6442307692307693,0.6530612244897959,0.6153846153846154,0.6336633663366337,0.6439344869066346
factors_finance,7,77,5,emotion_aware,418,104,0.6057692307692307,0.6057692307692308,0.6341463414634146,0.5,0.5591397849462365,0.6013090229079008
factors_finance,8,88,1,text_only,416,106,0.6509433962264151,0.6509433962264151,0.6379310344827587,0.6981132075471698,0.6666666666666666,0.6501650165016502
factors_finance,8,88,1,emotion_aware,416,106,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528
factors_finance,8,88,2,text_only,418,104,0.625,0.625,0.6274509803921569,0.6153846153846154,0.6213592233009708,0.6249653259361997
factors_finance,8,88,2,emotion_aware,418,104,0.6442307692307693,0.6442307692307693,0.6530612244897959,0.6153846153846154,0.6336633663366337,0.6439344869066346
factors_finance,8,88,3,text_only,418,104,0.6346153846153846,0.6346153846153846,0.6521739130434783,0.5769230769230769,0.6122448979591837,0.6333951762523191
factors_finance,8,88,3,emotion_aware,418,104,0.6923076923076923,0.6923076923076923,0.7380952380952381,0.5961538461538461,0.6595744680851063,0.6894363568495707
factors_finance,8,88,4,text_only,418,104,0.6153846153846154,0.6153846153846154,0.625,0.5769230769230769,0.6,0.6148148148148148
factors_finance,8,88,4,emotion_aware,418,104,0.6057692307692307,0.6057692307692308,0.6037735849056604,0.6153846153846154,0.6095238095238096,0.6057327785483125
factors_finance,8,88,5,text_only,418,104,0.625,0.625,0.6226415094339622,0.6346153846153846,0.6285714285714286,0.6249653259361997
factors_finance,8,88,5,emotion_aware,418,104,0.5961538461538461,0.5961538461538461,0.6,0.5769230769230769,0.5882352941176471,0.5960044395116537
factors_finance,9,99,1,text_only,416,106,0.6698113207547169,0.6698113207547169,0.6730769230769231,0.660377358490566,0.6666666666666666,0.6697819314641744
