dataset,repetition,seed,model,scope,subset,manipulation_category,rows,misleading_recall,mean_probability_misleading
factors_finance,2,22,text_only,overall,all,all,1123,0.44256455921638466,0.4685423529092372
factors_finance,2,22,text_only,overall_non_sentiment,all,non_sentiment,917,0.40021810250817885,0.4493111684885904
factors_finance,2,22,text_only,subset,hard_case,all,123,0.4715447154471545,0.49828858794720193
factors_finance,2,22,text_only,subset,main,all,1000,0.439,0.4648835659995675
factors_finance,2,22,text_only,category,all,causal,231,0.5281385281385281,0.5084603186293598
factors_finance,2,22,text_only,category,all,flipping,313,0.16932907348242812,0.3535595097766517
factors_finance,2,22,text_only,category,all,numerical,373,0.514745308310992,0.49302917249480777
factors_finance,2,22,text_only,category,all,sentiment,206,0.6310679611650486,0.5541491301603687
factors_finance,2,22,emotion_aware,overall,all,all,1123,0.46749777382012464,0.4707190512529411
factors_finance,2,22,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.4133042529989095,0.44838750257178117
factors_finance,2,22,emotion_aware,subset,hard_case,all,123,0.5691056910569106,0.5043447494991427
factors_finance,2,22,emotion_aware,subset,main,all,1000,0.455,0.4665830903686583
factors_finance,2,22,emotion_aware,category,all,causal,231,0.5670995670995671,0.504792035593615
factors_finance,2,22,emotion_aware,category,all,flipping,313,0.28434504792332266,0.4013239643491876
factors_finance,2,22,emotion_aware,category,all,numerical,373,0.4262734584450402,0.45294900481207123
factors_finance,2,22,emotion_aware,category,all,sentiment,206,0.7087378640776699,0.5701269645569393
factors_finance,3,33,text_only,overall,all,all,1123,0.3196794300979519,0.44007533032344265
factors_finance,3,33,text_only,overall_non_sentiment,all,non_sentiment,917,0.29770992366412213,0.4305061847946506
factors_finance,3,33,text_only,subset,hard_case,all,123,0.35772357723577236,0.4537159495237397
factors_finance,3,33,text_only,subset,main,all,1000,0.315,0.4383975341618061
factors_finance,3,33,text_only,category,all,causal,231,0.2554112554112554,0.4290220904530901
factors_finance,3,33,text_only,category,all,flipping,313,0.1501597444089457,0.35750012942396414
factors_finance,3,33,text_only,category,all,numerical,373,0.4477211796246649,0.4926877427676408
