dataset,repetition,outer_seed,outer_fold,model,train_rows,test_rows,ngram_range,min_df,C,affect_weight,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,8,88,2,emotion_aware,1638,410,1-2,1,10.0,0.05,0.6560975609756098,0.6560975609756097,0.6818181818181818,0.5853658536585366,0.6299212598425197,0.6543683747959751
liar2_finance,8,88,3,text_only,1638,410,1-1,1,1.0,,0.6146341463414634,0.6146341463414634,0.6093023255813953,0.6390243902439025,0.6238095238095238,0.6144047619047619
liar2_finance,8,88,3,emotion_aware,1638,410,1-1,1,1.0,0.05,0.6219512195121951,0.6219512195121951,0.6190476190476191,0.6341463414634146,0.6265060240963856,0.6218949873568347
liar2_finance,8,88,4,text_only,1638,410,1-2,1,1.0,,0.6829268292682927,0.6829268292682926,0.6984126984126984,0.6439024390243903,0.6700507614213198,0.6824432210862468
liar2_finance,8,88,4,emotion_aware,1638,410,1-2,1,1.0,0.1,0.7097560975609756,0.7097560975609756,0.7216494845360825,0.6829268292682927,0.7017543859649122,0.7095470267116722
liar2_finance,8,88,5,text_only,1640,408,1-1,2,1.0,,0.6372549019607843,0.6372549019607843,0.6346153846153846,0.6470588235294118,0.6407766990291263,0.63722003268288
liar2_finance,8,88,5,emotion_aware,1640,408,1-2,2,1.0,0.05,0.6617647058823529,0.6617647058823529,0.6601941747572816,0.6666666666666666,0.6634146341463415,0.6617565781569146
liar2_finance,9,99,1,text_only,1638,410,1-2,1,10.0,,0.6536585365853659,0.6536585365853659,0.6632124352331606,0.624390243902439,0.6432160804020101,0.6533615947033746
liar2_finance,9,99,1,emotion_aware,1638,410,1-2,2,1.0,0.1,0.6463414634146342,0.6463414634146342,0.6456310679611651,0.6487804878048781,0.6472019464720195,0.6463393595440782
liar2_finance,9,99,2,text_only,1638,410,1-2,1,1.0,,0.651219512195122,0.6512195121951219,0.6648936170212766,0.6097560975609756,0.6361323155216285,0.6506188509692452
liar2_finance,9,99,2,emotion_aware,1638,410,1-2,1,1.0,0.1,0.6585365853658537,0.6585365853658536,0.6756756756756757,0.6097560975609756,0.6410256410256411,0.6577221228384019
liar2_finance,9,99,3,text_only,1638,410,1-2,2,1.0,,0.6463414634146342,0.6463414634146342,0.6428571428571429,0.6585365853658537,0.6506024096385542,0.6462888591402647
liar2_finance,9,99,3,emotion_aware,1638,410,1-2,1,1.0,0.05,0.6634146341463415,0.6634146341463415,0.6683417085427136,0.6487804878048781,0.6584158415841584,0.6633425361766946
liar2_finance,9,99,4,text_only,1638,410,1-2,1,0.1,,0.6682926829268293,0.6682926829268293,0.6699507389162561,0.6634146341463415,0.6666666666666666,0.6682847896440129
liar2_finance,9,99,4,emotion_aware,1638,410,1-2,1,1.0,0.05,0.6804878048780488,0.6804878048780487,0.6868686868686869,0.6634146341463415,0.674937965260546,0.680394642102695
