dataset,classifier,representation,C,affect_weight,model_variant,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,precision_mean,recall_mean,f1_mean,folds,rank_within_dataset
factors_finance,linear_svm,word,0.1,0.05,emotion_aware,0.6283318261043349,0.03743928487345173,0.6289912917271407,0.037272344205620395,0.6289912917271409,0.6338156864324415,0.6132075471698113,0.622355150627103,15,25
factors_finance,linear_svm,word,1.0,0.25,emotion_aware,0.6282727338647363,0.03072105558069736,0.6289671020803096,0.030974749325248976,0.6289671020803096,0.6347364653144559,0.6118287373004354,0.6219338680738299,15,26
factors_finance,linear_svm,word,10.0,0.1,emotion_aware,0.6277911109645858,0.034311857670646206,0.6283865505563618,0.03471834357881993,0.6283865505563618,0.6308681911641936,0.624600870827286,0.626603972411856,15,27
factors_finance,linear_svm,word,1.0,0.05,emotion_aware,0.627634314856487,0.024839698412261673,0.6283381712626995,0.02498381232179797,0.6283381712626995,0.6322299722122625,0.6169811320754717,0.6232593902839068,15,28
factors_finance,logistic_regression,word,10.0,0.25,emotion_aware,0.6276188223670301,0.02927789775755679,0.628386550556362,0.02930227060158117,0.628386550556362,0.635041022579711,0.6068214804063861,0.6194915246363134,15,29
factors_finance,logistic_regression,word_char,10.0,0.1,emotion_aware,0.6267336899698103,0.03104662796775924,0.627721335268505,0.030898080760377776,0.6277213352685052,0.6326530146536022,0.6132075471698113,0.6211814079229663,15,30
factors_finance,linear_svm,word,0.1,0.1,emotion_aware,0.6266798511013955,0.036508508261556785,0.627697145621674,0.03642208164407622,0.6276971456216739,0.635242640496386,0.6055394291243348,0.6185291851611651,15,31
factors_finance,linear_svm,word,0.1,0.5,emotion_aware,0.6266769986078794,0.050207080922528846,0.6283865505563618,0.050643799092260945,0.6283865505563618,0.6435796861188293,0.5865021770682148,0.6112120510832664,15,32
factors_finance,linear_svm,word_char,10.0,0.05,emotion_aware,0.6266766113733948,0.03514663630057414,0.6277697145621673,0.03492916857690781,0.6277697145621673,0.6312600101648768,0.6195694242864054,0.6235294385793834,15,33
factors_finance,linear_svm,word,1.0,0.5,emotion_aware,0.6262718055663137,0.03195603580356001,0.6270561199806484,0.03215029200666705,0.6270561199806484,0.6339814826511889,0.6067247218190615,0.6188560968701349,15,34
factors_finance,logistic_regression,word_char,1.0,0.5,emotion_aware,0.6261026398277326,0.03610649064896561,0.6276608611514273,0.03635836780016905,0.6276608611514273,0.6375640884940709,0.6030237058538945,0.6171693022936535,15,35
factors_finance,linear_svm,word_char,1.0,0.5,emotion_aware,0.6259054866760055,0.028676403090869083,0.6270561199806484,0.028117426637152595,0.6270561199806484,0.6312039450400218,0.6157232704402517,0.6215739531782108,15,36
factors_finance,logistic_regression,word,1.0,0.05,emotion_aware,0.6258358768271026,0.03545764692724336,0.6264271891630382,0.035307303074243665,0.6264271891630382,0.6304455837633612,0.6144654088050314,0.6214388046230007,15,37
factors_finance,logistic_regression,word_char,0.1,0.0,text_only,0.6257356284207732,0.04080387981829669,0.627007740686986,0.04020550557944541,0.627007740686986,0.6340401198854206,0.608030962747944,0.6189234489121067,15,38
factors_finance,logistic_regression,word,0.1,0.05,emotion_aware,0.6256536518172469,0.043429958728574865,0.6264392839864538,0.04314520968182609,0.6264392839864538,0.633248621519718,0.6055394291243348,0.6180709196425532,15,39
factors_finance,logistic_regression,word,1.0,0.5,emotion_aware,0.6253784534407808,0.045838818707584494,0.6271165940977261,0.0461422382005514,0.6271165940977262,0.6410932644918151,0.5865021770682148,0.6100923657907853,15,40
factors_finance,linear_svm,word_char,1.0,1.0,emotion_aware,0.6252368002121081,0.031016214313757992,0.6264513788098695,0.030473169306612282,0.6264513788098695,0.6314908651940362,0.61192549588776,0.6196928547826102,15,41
factors_finance,linear_svm,word,10.0,0.25,emotion_aware,0.6250373509276617,0.03395011651640801,0.6257982583454281,0.034255746501718996,0.6257982583454281,0.6277828305439208,0.6233430091920658,0.6242058367907272,15,42
