dataset,repetition,outer_seed,outer_fold,model,candidate_index,classifier,representation,C,affect_weight,inner_macro_f1,inner_balanced_accuracy,selected,evaluation_stage
liar2_finance,3,33,0,emotion_aware,26,logistic_regression,word_char,10.0,0.05,0.6454861746932796,0.6455078125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,27,logistic_regression,word_char,10.0,0.1,0.6454861746932796,0.6455078125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,28,logistic_regression,word_char,10.0,0.25,0.6449889757681495,0.64501953125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,29,logistic_regression,word_char,10.0,0.5,0.6444824270911227,0.64453125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,30,logistic_regression,word_char,10.0,1.0,0.6464273893631004,0.646484375,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,31,linear_svm,word,0.1,0.05,0.6557182967612711,0.65576171875,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,32,linear_svm,word,0.1,0.1,0.6547416110783244,0.65478515625,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,33,linear_svm,word,0.1,0.25,0.6527060904415993,0.65283203125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,34,linear_svm,word,0.1,0.5,0.6487850207376147,0.64892578125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,35,linear_svm,word,0.1,1.0,0.6463626259879891,0.646484375,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,36,linear_svm,word,1.0,0.05,0.6332985955393049,0.63330078125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,37,linear_svm,word,1.0,0.1,0.6342312117364427,0.63427734375,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,38,linear_svm,word,1.0,0.25,0.637152962828104,0.63720703125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,39,linear_svm,word,1.0,0.5,0.6371439642786882,0.63720703125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,40,linear_svm,word,1.0,1.0,0.6371439642786882,0.63720703125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,41,linear_svm,word,10.0,0.05,0.618652252829612,0.61865234375,False,rfc_complete_source_tuning
