dataset,repetition,outer_seed,outer_fold,model,train_rows,test_rows,classifier,representation,C,affect_weight,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,7,77,2,emotion_aware,1638,410,linear_svm,word_char,0.1,0.1,0.6707317073170732,0.6707317073170732,0.675,0.6585365853658537,0.6666666666666666,0.6706827309236947
liar2_finance,7,77,3,text_only,1638,410,logistic_regression,word,1.0,,0.6536585365853659,0.6536585365853659,0.6507177033492823,0.6634146341463415,0.6570048309178744,0.6536255681682968
liar2_finance,7,77,3,emotion_aware,1638,410,linear_svm,word_char,0.1,0.1,0.6585365853658537,0.6585365853658537,0.6540284360189573,0.6731707317073171,0.6634615384615384,0.658463442498096
liar2_finance,7,77,4,text_only,1638,410,linear_svm,word_char,0.1,,0.697560975609756,0.697560975609756,0.6883720930232559,0.7219512195121951,0.7047619047619048,0.6973809523809524
liar2_finance,7,77,4,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.05,0.6926829268292682,0.6926829268292682,0.6926829268292682,0.6926829268292682,0.6926829268292682,0.6926829268292682
liar2_finance,7,77,5,text_only,1640,408,logistic_regression,word,1.0,,0.6078431372549019,0.607843137254902,0.6134020618556701,0.5833333333333334,0.5979899497487438,0.6076074150657594
liar2_finance,7,77,5,emotion_aware,1640,408,logistic_regression,word_char,0.1,0.05,0.625,0.625,0.6208530805687204,0.6421568627450981,0.6313253012048192,0.6248895832707388
liar2_finance,8,88,1,text_only,1638,410,linear_svm,word_char,0.1,,0.6609756097560976,0.6609756097560976,0.665,0.6487804878048781,0.6567901234567901,0.6609251822103228
liar2_finance,8,88,1,emotion_aware,1638,410,logistic_regression,word_char,1.0,0.05,0.6560975609756098,0.6560975609756098,0.66,0.6439024390243903,0.6518518518518519,0.6560464078536368
liar2_finance,8,88,2,text_only,1638,410,logistic_regression,word,1.0,,0.6170731707317073,0.6170731707317073,0.625,0.5853658536585366,0.6045340050377834,0.6166878063013976
liar2_finance,8,88,2,emotion_aware,1638,410,linear_svm,word_char,0.1,0.25,0.6658536585365854,0.6658536585365853,0.6789473684210526,0.6292682926829268,0.6531645569620254,0.6654058078927774
liar2_finance,8,88,3,text_only,1638,410,linear_svm,word_char,0.1,,0.6195121951219512,0.6195121951219512,0.6139534883720931,0.6439024390243903,0.6285714285714286,0.6192857142857142
liar2_finance,8,88,3,emotion_aware,1638,410,logistic_regression,word_char,1.0,0.1,0.6390243902439025,0.6390243902439025,0.6363636363636364,0.6487804878048781,0.642512077294686,0.6389900287951262
liar2_finance,8,88,4,text_only,1638,410,logistic_regression,word_char,0.1,,0.7,0.7,0.7070707070707071,0.6829268292682927,0.6947890818858561,0.6999125265544388
liar2_finance,8,88,4,emotion_aware,1638,410,logistic_regression,word,0.1,0.05,0.6902439024390243,0.6902439024390243,0.696969696969697,0.6731707317073171,0.684863523573201,0.6901535843285669
liar2_finance,8,88,5,text_only,1640,408,logistic_regression,word_char,0.1,,0.6470588235294118,0.6470588235294118,0.6456310679611651,0.6519607843137255,0.6487804878048781,0.6470503424246066
liar2_finance,8,88,5,emotion_aware,1640,408,logistic_regression,word_char,1.0,0.1,0.6617647058823529,0.661764705882353,0.6571428571428571,0.6764705882352942,0.6666666666666666,0.6616915422885572
liar2_finance,9,99,1,text_only,1638,410,linear_svm,word_char,0.1,,0.6585365853658537,0.6585365853658537,0.6570048309178744,0.6634146341463415,0.6601941747572816,0.6585284599276604
liar2_finance,9,99,1,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.05,0.6585365853658537,0.6585365853658537,0.6585365853658537,0.6585365853658537,0.6585365853658537,0.6585365853658537
liar2_finance,9,99,2,text_only,1638,410,logistic_regression,word,1.0,,0.6609756097560976,0.6609756097560976,0.6683673469387755,0.6390243902439025,0.6533665835411472,0.6608121700521965
liar2_finance,9,99,2,emotion_aware,1638,410,linear_svm,word,0.1,0.1,0.6780487804878049,0.6780487804878048,0.6852791878172588,0.6585365853658537,0.6716417910447762,0.6779261586802828
liar2_finance,9,99,3,text_only,1638,410,logistic_regression,word_char,0.1,,0.6609756097560976,0.6609756097560976,0.6601941747572816,0.6634146341463415,0.6618004866180048,0.6609735929422542
liar2_finance,9,99,3,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.05,0.6658536585365854,0.6658536585365854,0.6666666666666666,0.6634146341463415,0.6650366748166259,0.6658516707416462
liar2_finance,9,99,4,text_only,1638,410,linear_svm,word,0.1,,0.6878048780487804,0.6878048780487804,0.6842105263157895,0.697560975609756,0.6908212560386473,0.687775160039028
liar2_finance,9,99,4,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.05,0.697560975609756,0.697560975609756,0.6956521739130435,0.7024390243902439,0.6990291262135923,0.6975537787930706
liar2_finance,9,99,5,text_only,1640,408,linear_svm,word_char,0.1,,0.6372549019607843,0.6372549019607843,0.64,0.6274509803921569,0.6336633663366337,0.63722003268288
liar2_finance,9,99,5,emotion_aware,1640,408,logistic_regression,word_char,1.0,0.25,0.6568627450980392,0.6568627450980392,0.66,0.6470588235294118,0.6534653465346535,0.6568297606459675
liar2_finance,10,110,1,text_only,1638,410,linear_svm,word,0.1,,0.6609756097560976,0.6609756097560975,0.65,0.697560975609756,0.6729411764705883,0.6605212211466865
liar2_finance,10,110,1,emotion_aware,1638,410,linear_svm,word,0.1,0.25,0.6414634146341464,0.6414634146341464,0.638095238095238,0.6536585365853659,0.6457831325301204,0.6414100847835787
liar2_finance,10,110,2,text_only,1638,410,logistic_regression,word_char,0.1,,0.651219512195122,0.651219512195122,0.6476190476190476,0.6634146341463415,0.655421686746988,0.6511676334969507
liar2_finance,10,110,2,emotion_aware,1638,410,logistic_regression,word,1.0,0.1,0.675609756097561,0.6756097560975609,0.6818181818181818,0.6585365853658537,0.6699751861042184,0.6755151709897591
liar2_finance,10,110,3,text_only,1638,410,logistic_regression,word_char,10.0,,0.6317073170731707,0.6317073170731707,0.6377551020408163,0.6097560975609756,0.6234413965087282,0.6315297674667746
liar2_finance,10,110,3,emotion_aware,1638,410,linear_svm,word_char,0.1,0.1,0.6682926829268293,0.6682926829268293,0.6699507389162561,0.6634146341463415,0.6666666666666666,0.6682847896440129
liar2_finance,10,110,4,text_only,1638,410,logistic_regression,word_char,0.1,,0.6829268292682927,0.6829268292682926,0.7049180327868853,0.6292682926829268,0.6649484536082474,0.6820112638411607
liar2_finance,10,110,4,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.05,0.6731707317073171,0.673170731707317,0.6802030456852792,0.6536585365853659,0.6666666666666666,0.6730462519936204
liar2_finance,10,110,5,text_only,1640,408,linear_svm,word_char,0.1,,0.6519607843137255,0.6519607843137254,0.6581632653061225,0.6323529411764706,0.645,0.6518269230769231
liar2_finance,10,110,5,emotion_aware,1640,408,linear_svm,word,0.1,0.5,0.6593137254901961,0.6593137254901961,0.6666666666666666,0.6372549019607843,0.6516290726817042,0.6591478696741855
factors_finance,1,11,1,text_only,416,106,logistic_regression,word_char,0.1,,0.6226415094339622,0.6226415094339622,0.6511627906976745,0.5283018867924528,0.5833333333333334,0.6192528735632183
factors_finance,1,11,1,emotion_aware,416,106,logistic_regression,word_char,1.0,0.5,0.6320754716981132,0.6320754716981132,0.6666666666666666,0.5283018867924528,0.5894736842105263,0.6280701754385964
factors_finance,1,11,2,text_only,418,104,logistic_regression,word_char,0.1,,0.6538461538461539,0.6538461538461539,0.6666666666666666,0.6153846153846154,0.64,0.6533333333333333
factors_finance,1,11,2,emotion_aware,418,104,logistic_regression,word_char,0.1,0.05,0.6923076923076923,0.6923076923076923,0.7,0.6730769230769231,0.6862745098039216,0.6921938586755456
factors_finance,1,11,3,text_only,418,104,logistic_regression,word,1.0,,0.7307692307692307,0.7307692307692308,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.7303703703703703
factors_finance,1,11,3,emotion_aware,418,104,logistic_regression,word,10.0,0.1,0.6730769230769231,0.6730769230769231,0.6666666666666666,0.6923076923076923,0.6792452830188679,0.6729559748427673
factors_finance,1,11,4,text_only,418,104,logistic_regression,word,0.1,,0.5576923076923077,0.5576923076923077,0.5652173913043478,0.5,0.5306122448979592,0.5562152133580704
factors_finance,1,11,4,emotion_aware,418,104,logistic_regression,word_char,1.0,0.25,0.5673076923076923,0.5673076923076923,0.5777777777777777,0.5,0.5360824742268041,0.5653385344106994
factors_finance,1,11,5,text_only,418,104,logistic_regression,word,0.1,,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
factors_finance,1,11,5,emotion_aware,418,104,logistic_regression,word,0.1,0.05,0.625,0.625,0.6226415094339622,0.6346153846153846,0.6285714285714286,0.6249653259361997
