dataset,repetition,seed,fold,classifier,representation,C,affect_weight,model_variant,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,1,11,2,logistic_regression,word,0.1,0.05,emotion_aware,0.6365853658536585,0.6365853658536585,0.6346153846153846,0.6439024390243903,0.639225181598063,0.6365659077523484
liar2_finance,1,11,2,logistic_regression,word,0.1,0.1,emotion_aware,0.6268292682926829,0.6268292682926829,0.6274509803921569,0.624390243902439,0.6259168704156479,0.6268270483465102
liar2_finance,1,11,2,logistic_regression,word,0.1,0.25,emotion_aware,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146
liar2_finance,1,11,2,logistic_regression,word,0.1,0.5,emotion_aware,0.6219512195121951,0.6219512195121951,0.625,0.6097560975609756,0.6172839506172839,0.6218949873568347
liar2_finance,1,11,2,logistic_regression,word,0.1,1.0,emotion_aware,0.6121951219512195,0.6121951219512195,0.615,0.6,0.6074074074074074,0.6121374386434628
liar2_finance,1,11,2,logistic_regression,word,1.0,0.0,text_only,0.624390243902439,0.624390243902439,0.6231884057971014,0.6292682926829268,0.6262135922330098,0.6243813059204264
liar2_finance,1,11,2,logistic_regression,word,1.0,0.05,emotion_aware,0.6170731707317073,0.6170731707317073,0.616504854368932,0.6195121951219512,0.6180048661800487,0.617070892747726
liar2_finance,1,11,2,logistic_regression,word,1.0,0.1,emotion_aware,0.6341463414634146,0.6341463414634146,0.6354679802955665,0.6292682926829268,0.6323529411764706,0.6341376356367789
liar2_finance,1,11,2,logistic_regression,word,1.0,0.25,emotion_aware,0.6341463414634146,0.6341463414634146,0.6328502415458938,0.6390243902439025,0.6359223300970874,0.6341376356367789
liar2_finance,1,11,2,logistic_regression,word,1.0,0.5,emotion_aware,0.6292682926829268,0.6292682926829268,0.6267942583732058,0.6390243902439025,0.6328502415458938,0.629233002546346
liar2_finance,1,11,2,logistic_regression,word,1.0,1.0,emotion_aware,0.6292682926829268,0.6292682926829268,0.6267942583732058,0.6390243902439025,0.6328502415458938,0.629233002546346
liar2_finance,1,11,2,logistic_regression,word,10.0,0.0,text_only,0.6121951219512195,0.6121951219512195,0.6084905660377359,0.6292682926829268,0.6187050359712231,0.6120820465215917
liar2_finance,1,11,2,logistic_regression,word,10.0,0.05,emotion_aware,0.624390243902439,0.624390243902439,0.6220095693779905,0.6341463414634146,0.6280193236714976,0.6243544894219557
liar2_finance,1,11,2,logistic_regression,word,10.0,0.1,emotion_aware,0.6268292682926829,0.6268292682926829,0.625,0.6341463414634146,0.6295399515738499,0.626809287826237
liar2_finance,1,11,2,logistic_regression,word,10.0,0.25,emotion_aware,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146
liar2_finance,1,11,2,logistic_regression,word,10.0,0.5,emotion_aware,0.6317073170731707,0.6317073170731707,0.6323529411764706,0.6292682926829268,0.6308068459657702,0.6317051261459021
liar2_finance,1,11,2,logistic_regression,word,10.0,1.0,emotion_aware,0.6317073170731707,0.6317073170731707,0.6323529411764706,0.6292682926829268,0.6308068459657702,0.6317051261459021
liar2_finance,1,11,2,logistic_regression,word_char,0.1,0.0,text_only,0.6365853658536585,0.6365853658536585,0.6320754716981132,0.6536585365853659,0.6426858513189448,0.6364794020862714
liar2_finance,1,11,2,logistic_regression,word_char,0.1,0.05,emotion_aware,0.6414634146341464,0.6414634146341464,0.6367924528301887,0.6585365853658537,0.6474820143884892,0.6413588731992074
