dataset,repetition,outer_seed,outer_fold,model,parameter_index,ngram_range,min_df,C,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,2,22,3,emotion_aware,2,1-1,1,1.0,0.6407894736842106,0.641025641025641,False
liar2_finance,2,22,3,emotion_aware,3,1-1,1,10.0,0.6194196757395398,0.6196581196581197,False
liar2_finance,2,22,3,emotion_aware,4,1-1,2,0.1,0.6148678606457161,0.6153846153846154,False
liar2_finance,2,22,3,emotion_aware,5,1-1,2,1.0,0.6408521606056945,0.641025641025641,False
liar2_finance,2,22,3,emotion_aware,6,1-1,2,10.0,0.6218632091216296,0.6221001221001221,False
liar2_finance,2,22,3,emotion_aware,7,1-2,1,0.1,0.6020121500841817,0.6025641025641025,False
liar2_finance,2,22,3,emotion_aware,8,1-2,1,1.0,0.639489491453223,0.6404151404151404,False
liar2_finance,2,22,3,emotion_aware,9,1-2,1,10.0,0.6515471120127907,0.652014652014652,True
liar2_finance,2,22,3,emotion_aware,10,1-2,2,0.1,0.6069721751104096,0.6074481074481075,False
liar2_finance,2,22,3,emotion_aware,11,1-2,2,1.0,0.6432549029552734,0.6434676434676434,False
liar2_finance,2,22,3,emotion_aware,12,1-2,2,10.0,0.6396493813313606,0.6398046398046398,False
liar2_finance,2,22,4,text_only,1,1-1,1,0.1,0.6404150063938595,0.6404151404151404,False
liar2_finance,2,22,4,text_only,2,1-1,1,1.0,0.6367411701167702,0.6367521367521367,False
liar2_finance,2,22,4,text_only,3,1-1,1,10.0,0.6287885113133507,0.6288156288156288,False
liar2_finance,2,22,4,text_only,4,1-1,2,0.1,0.6379697646569034,0.6379731379731379,False
liar2_finance,2,22,4,text_only,5,1-1,2,1.0,0.6342707403396881,0.6343101343101343,False
liar2_finance,2,22,4,text_only,6,1-1,2,10.0,0.619657977900466,0.6196581196581197,False
liar2_finance,2,22,4,text_only,7,1-2,1,0.1,0.6358289129121064,0.6361416361416361,False
liar2_finance,2,22,4,text_only,8,1-2,1,1.0,0.6413890075134409,0.6416361416361416,False
liar2_finance,2,22,4,text_only,9,1-2,1,10.0,0.641828003050851,0.6422466422466422,True
liar2_finance,2,22,4,text_only,10,1-2,2,0.1,0.6349119262909153,0.6349206349206349,False
liar2_finance,2,22,4,text_only,11,1-2,2,1.0,0.6391832462840523,0.6391941391941391,False
liar2_finance,2,22,4,text_only,12,1-2,2,10.0,0.6275924067881513,0.6275946275946276,False
liar2_finance,2,22,4,emotion_aware,1,1-1,1,0.1,0.6164403584340583,0.6166056166056166,False
liar2_finance,2,22,4,emotion_aware,2,1-1,1,1.0,0.6512261925848584,0.6514041514041514,False
liar2_finance,2,22,4,emotion_aware,3,1-1,1,10.0,0.6282038810526139,0.6282051282051282,False
liar2_finance,2,22,4,emotion_aware,4,1-1,2,0.1,0.6201236381533322,0.6202686202686203,False
liar2_finance,2,22,4,emotion_aware,5,1-1,2,1.0,0.6543695719602978,0.6544566544566544,False
liar2_finance,2,22,4,emotion_aware,6,1-1,2,10.0,0.6245408651023934,0.6245421245421245,False
liar2_finance,2,22,4,emotion_aware,7,1-2,1,0.1,0.6024027248779342,0.6025641025641026,False
liar2_finance,2,22,4,emotion_aware,8,1-2,1,1.0,0.6560285473545693,0.6562881562881563,False
liar2_finance,2,22,4,emotion_aware,9,1-2,1,10.0,0.6626636919196818,0.663003663003663,True
liar2_finance,2,22,4,emotion_aware,10,1-2,2,0.1,0.6091485020938474,0.6092796092796093,False
liar2_finance,2,22,4,emotion_aware,11,1-2,2,1.0,0.653824348879467,0.6538461538461539,False
liar2_finance,2,22,4,emotion_aware,12,1-2,2,10.0,0.6440769501702364,0.6440781440781441,False
liar2_finance,2,22,5,text_only,1,1-1,1,0.1,0.6414628814141603,0.6414634146341464,False
liar2_finance,2,22,5,text_only,2,1-1,1,1.0,0.639623293235705,0.6396341463414634,False
liar2_finance,2,22,5,text_only,3,1-1,1,10.0,0.6176759615266637,0.6176829268292683,False
