dataset,repetition,seed,model,classifier,representation,C,affect_weight,scope,subset,manipulation_category,rows,detected_misleading,missed_misleading,misleading_recall
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,sentiment,53,17,36,0.32075471698113206
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,subset_category,main,causal,188,106,82,0.5638297872340425
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,subset_category,main,flipping,306,142,164,0.46405228758169936
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,subset_category,main,numerical,353,174,179,0.49291784702549574
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,subset_category,main,sentiment,153,75,78,0.49019607843137253
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,overall,all,all,1123,387,736,0.3446126447016919
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,overall_non_sentiment,all,non_sentiment,917,320,597,0.3489640130861505
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,subset,hard_case,all,123,30,93,0.24390243902439024
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,subset_non_sentiment,hard_case,non_sentiment,70,20,50,0.2857142857142857
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,subset,main,all,1000,357,643,0.357
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,subset_non_sentiment,main,non_sentiment,847,300,547,0.3541912632821724
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,category,all,causal,231,83,148,0.3593073593073593
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,category,all,flipping,313,114,199,0.36421725239616615
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,category,all,numerical,373,123,250,0.3297587131367292
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,category,all,sentiment,206,67,139,0.32524271844660196
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,subset_category,hard_case,causal,43,17,26,0.3953488372093023
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,subset_category,hard_case,flipping,7,3,4,0.42857142857142855
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,subset_category,hard_case,numerical,20,0,20,0.0
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,subset_category,hard_case,sentiment,53,10,43,0.18867924528301888
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,subset_category,main,causal,188,66,122,0.35106382978723405
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,subset_category,main,flipping,306,111,195,0.3627450980392157
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,subset_category,main,numerical,353,123,230,0.34844192634560905
liar2_finance,6,66,emotion_aware,linear_svm,word_char,0.1,0.5,subset_category,main,sentiment,153,57,96,0.37254901960784315
liar2_finance,7,77,text_only,logistic_regression,word_char,0.1,,overall,all,all,1123,629,494,0.560106856634016
liar2_finance,7,77,text_only,logistic_regression,word_char,0.1,,overall_non_sentiment,all,non_sentiment,917,510,407,0.5561613958560524
liar2_finance,7,77,text_only,logistic_regression,word_char,0.1,,subset,hard_case,all,123,60,63,0.4878048780487805
liar2_finance,7,77,text_only,logistic_regression,word_char,0.1,,subset_non_sentiment,hard_case,non_sentiment,70,33,37,0.4714285714285714
liar2_finance,7,77,text_only,logistic_regression,word_char,0.1,,subset,main,all,1000,569,431,0.569
liar2_finance,7,77,text_only,logistic_regression,word_char,0.1,,subset_non_sentiment,main,non_sentiment,847,477,370,0.5631641086186541
liar2_finance,7,77,text_only,logistic_regression,word_char,0.1,,category,all,causal,231,139,92,0.6017316017316018
liar2_finance,7,77,text_only,logistic_regression,word_char,0.1,,category,all,flipping,313,175,138,0.5591054313099042
liar2_finance,7,77,text_only,logistic_regression,word_char,0.1,,category,all,numerical,373,196,177,0.5254691689008043
liar2_finance,7,77,text_only,logistic_regression,word_char,0.1,,category,all,sentiment,206,119,87,0.5776699029126213
liar2_finance,7,77,text_only,logistic_regression,word_char,0.1,,subset_category,hard_case,causal,43,24,19,0.5581395348837209
