dataset,repetition,seed,model,best_epoch,epoch,train_loss,validation_loss,validation_macro_f1,validation_balanced_accuracy
liar2_finance,10,110,text_only,3,3,0.38874741952593733,0.7626451908373365,0.6848068669527897,0.6911764705882353
liar2_finance,10,110,text_only,3,4,0.2408451826834097,0.8984864038579604,0.6603855526334838,0.6617647058823529
liar2_finance,10,110,text_only,3,5,0.1484602706097975,0.9772379164602242,0.6515505088170905,0.6519607843137255
liar2_finance,10,110,emotion_aware,3,1,0.6792165892880138,0.6858734289805094,0.6202978056426333,0.6274509803921569
liar2_finance,10,110,emotion_aware,3,2,0.5539663234861886,0.6493481607998118,0.6344086021505376,0.6372549019607843
liar2_finance,10,110,emotion_aware,3,3,0.3950488360916696,0.7413135463116216,0.681810304275705,0.6911764705882353
liar2_finance,10,110,emotion_aware,3,4,0.25135153132240945,0.8317372144437304,0.6505416556083673,0.6519607843137255
liar2_finance,10,110,emotion_aware,3,5,0.15810973022769137,0.9323125072554046,0.6517515808708615,0.6519607843137255
factors_finance,1,11,text_only,1,1,0.6992576213544636,0.6462708895023053,0.6101949025487257,0.6153846153846154
factors_finance,1,11,text_only,1,2,0.5983399281091097,0.6546121652309711,0.5923852183650615,0.5961538461538461
factors_finance,1,11,text_only,1,3,0.4903059422114249,0.6246505333827093,0.5923852183650615,0.5961538461538461
factors_finance,1,11,emotion_aware,5,1,0.6960009079800838,0.6527925271254319,0.5769230769230769,0.5769230769230769
factors_finance,1,11,emotion_aware,5,2,0.5941754519654233,0.6755849077151372,0.5923852183650615,0.5961538461538461
factors_finance,1,11,emotion_aware,5,3,0.4698324249121561,0.6869292992811936,0.6130952380952381,0.6153846153846154
factors_finance,1,11,emotion_aware,5,4,0.3612129260478408,0.7038828409635104,0.6130952380952381,0.6153846153846154
factors_finance,1,11,emotion_aware,5,5,0.2770095328537471,0.7296353395168598,0.6278719397363465,0.6346153846153846
factors_finance,2,22,text_only,3,1,0.7174112899451734,0.7022279959458572,0.5495291902071563,0.5576923076923077
factors_finance,2,22,text_only,3,2,0.6075357686389576,0.7077562992389386,0.5666666666666667,0.5769230769230769
factors_finance,2,22,text_only,3,3,0.48196651733092716,0.7172742165051974,0.6130952380952381,0.6153846153846154
